Radio ID*,Radio Serial Number,Radio User Alias+,Security Group+,Radio Capability Profile+,Radio Site Access Profile+,Primary Talkgroup,Voice Enabled,Interconnect Enabled,Emergency Alarm Comments,Secure Communication Mode,Data Capability,Direct Dial Number,Secure Land to Mobile Start Mode,Interconnect Subsystem,Radio User Interconnect Profile,Interconnect Secure Key Reference,IP Address Assignment,IP Address,Generate ICMP Message,Source Address Checking,Ready Timer (sec),Data Agency Group,Data Steering Profile,Access Point Name,Notes,Date Modified,Trunking Subscriber Type
4816006,827CNP2076,WWPD 0653 M,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:19",IVD Radio
4816005,827CNP2122,WWPD 0649 M,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:19",IVD Radio
4816004,827CNP2062,WWPD 0648 M,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:19",IVD Radio
4816003,827CNP2117,WWPD 0647 M,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:19",IVD Radio
4816001,827CNP2111,WWPD 0298 M,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:19",IVD Radio
4805003,652CNM0170,WWCHALL,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:46:49",IVD Radio
4805002,652CNM0171,WWCBARN,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:46:49",IVD Radio
4805001,652CNM0174,WW UTIL PR2,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:46:49",IVD Radio
4805022,652CNM0173,WW TEMP22,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-14-2016, 09:12:21",IVD Radio
4805020,652CNM0161,WW TEMP1,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-14-2016, 09:11:59",IVD Radio
4805039,111AAA1039,WW TEMP 39,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:46:51",IVD Radio
4805038,111AAA1038,WW TEMP 38,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:46:51",IVD Radio
4805037,111AAA1037,WW TEMP 37,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:46:51",IVD Radio
4805036,652CNM0169,WW TEMP 36,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-14-2016, 09:11:42",IVD Radio
4805035,652CNM0168,WW TEMP 35,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-14-2016, 09:11:25",IVD Radio
4805034,652CNM0167,WW TEMP 34,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-14-2016, 09:11:10",IVD Radio
4805033,652CNM0158,WW TEMP 33,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-14-2016, 09:10:44",IVD Radio
4805032,652CNM0159,WW TEMP 32,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-14-2016, 09:10:30",IVD Radio
4805031,652CNM0163,WW TEMP 31,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-14-2016, 09:09:49",IVD Radio
